Fitting statistics for a 2D DOSY experiment  
Pure exponential fitting (Stejskal-Tanner equation)  
Monoexpoential fitting  


*******Fit Summary*******
Frequency   Exp. Ampl   Fit. Ampl1  error       Diff coef1  error       
-1.31218    0.00001     0.00000     0.00000     69.94364    131.80110   
-1.30925    0.00001     0.00001     0.00000     47.46444    38.70350    
-1.30613    0.00001     0.00001     0.00000     92.93408    49.10248    
-1.30301    0.00001     0.00001     0.00000     89.37790    72.54403    
-1.29935    0.00001     0.00001     0.00000     124.65809   71.82309    
-1.29641    0.00002     0.00001     0.00000     76.39730    53.86188    
-1.29091    0.00002     0.00001     0.00000     89.72375    55.30888    
-1.28706    0.00002     0.00002     0.00000     159.12600   56.97056    
-1.28340    0.00002     0.00002     0.00000     94.18623    41.72568    
-1.27863    0.00002     0.00002     0.00000     122.14773   32.59117    
-1.27276    0.00003     0.00003     0.00000     116.30757   34.18971    
-1.26818    0.00003     0.00002     0.00000     99.48028    44.53150    
-1.26359    0.00003     0.00003     0.00000     112.47028   33.69580    
-1.25919    0.00003     0.00003     0.00000     113.00744   26.85568    
-1.25314    0.00004     0.00003     0.00000     116.60801   31.27073    
-1.24984    0.00003     0.00003     0.00000     117.32719   47.33287    
-1.24764    0.00003     0.00003     0.00000     105.44076   34.42135    
-1.24214    0.00004     0.00004     0.00000     117.61950   25.04231    
-1.23939    0.00004     0.00003     0.00000     97.41346    25.46718    
-1.23829    0.00004     0.00003     0.00000     112.45867   25.44671    
-1.23132    0.00004     0.00003     0.00001     110.58072   45.17858    
-1.22766    0.00004     0.00004     0.00000     138.95121   28.49963    
-1.22289    0.00004     0.00004     0.00000     99.00955    28.33564    
-1.21739    0.00005     0.00004     0.00000     102.78543   30.23939    
-1.21115    0.00005     0.00004     0.00001     115.74290   38.30715    
-1.20730    0.00005     0.00004     0.00000     99.14861    28.61972    
-1.20015    0.00005     0.00004     0.00001     110.10929   30.80492    
-1.19777    0.00005     0.00004     0.00000     123.19124   28.65762    
-1.19410    0.00005     0.00004     0.00001     91.03899    28.58696    
-1.19154    0.00005     0.00005     0.00000     112.96649   22.26894    
-1.18732    0.00005     0.00004     0.00001     115.18517   33.57904    
-1.18365    0.00005     0.00004     0.00001     93.73550    30.38582    
-1.17943    0.00005     0.00005     0.00000     142.80737   24.52218    
-1.17540    0.00005     0.00005     0.00000     129.76074   29.58623    
-1.17027    0.00005     0.00005     0.00000     134.82058   21.59747    
-1.16568    0.00005     0.00004     0.00000     94.92409    26.00584    
-1.16165    0.00005     0.00004     0.00000     95.79368    22.22271    
-1.16000    0.00005     0.00004     0.00000     105.07298   25.76100    
-1.15395    0.00005     0.00005     0.00000     98.71381    23.77304    
-1.15083    0.00005     0.00004     0.00000     106.11081   24.89302    
-1.14937    0.00005     0.00004     0.00000     120.84763   21.97825    
-1.14570    0.00005     0.00005     0.00001     96.99441    29.62983    
-1.14350    0.00005     0.00005     0.00000     134.60575   28.22898    
-1.13928    0.00005     0.00005     0.00000     91.49852    23.60893    
-1.13488    0.00006     0.00005     0.00000     130.94640   29.95833    
-1.12993    0.00005     0.00005     0.00000     119.32586   22.20282    
-1.12736    0.00005     0.00005     0.00000     154.98219   14.28284    
-1.12461    0.00005     0.00005     0.00000     121.60164   19.55272    
-1.12260    0.00005     0.00005     0.00000     119.37334   15.15828    
-1.11930    0.00006     0.00005     0.00000     120.74329   26.73373    
-1.11490    0.00005     0.00005     0.00000     119.28904   26.44518    
-1.11123    0.00005     0.00004     0.00000     103.08744   21.81232    
-1.10884    0.00005     0.00004     0.00000     122.15637   31.68013    
-1.10664    0.00005     0.00005     0.00000     120.32032   16.92987    
-1.10389    0.00005     0.00005     0.00000     110.68915   19.30294    
-1.09968    0.00006     0.00005     0.00001     112.30641   28.73583    
-1.09473    0.00006     0.00006     0.00000     173.26842   23.64197    
-1.09179    0.00006     0.00005     0.00001     114.31953   32.66666    
-1.08849    0.00005     0.00005     0.00001     103.84421   26.99425    
-1.08629    0.00006     0.00005     0.00000     153.70242   18.36937    
-1.08318    0.00006     0.00005     0.00001     111.12069   36.53021    
-1.07951    0.00006     0.00005     0.00000     126.65499   21.56432    
-1.07602    0.00006     0.00005     0.00000     121.36308   26.04666    
-1.07217    0.00005     0.00005     0.00000     125.70618   26.15099    
-1.06942    0.00006     0.00005     0.00000     119.39665   23.85969    
-1.06502    0.00006     0.00005     0.00000     109.87396   23.50792    
-1.06099    0.00005     0.00005     0.00001     113.49730   31.09805    
-1.05641    0.00006     0.00005     0.00000     133.02817   24.80738    
-1.05329    0.00005     0.00005     0.00000     121.63984   22.25948    
-1.05164    0.00005     0.00005     0.00000     144.93121   20.58663    
-1.04889    0.00005     0.00004     0.00000     101.50419   26.68211    
-1.04412    0.00006     0.00005     0.00001     84.96455    22.21202    
-1.04155    0.00005     0.00005     0.00000     134.55964   30.02428    
-1.03844    0.00006     0.00005     0.00001     113.17400   30.02700    
-1.03257    0.00006     0.00005     0.00000     114.49996   23.47343    
-1.02927    0.00005     0.00005     0.00000     143.95137   28.95737    
-1.02524    0.00005     0.00005     0.00000     111.47750   16.97687    
-1.02084    0.00005     0.00005     0.00000     160.58845   14.82842    
-1.01790    0.00005     0.00004     0.00001     112.96848   43.93879    
-1.01277    0.00005     0.00004     0.00001     103.75281   30.46142    
-1.00910    0.00005     0.00005     0.00001     114.37483   30.72528    
-1.00745    0.00005     0.00005     0.00000     101.52552   18.76168    
-1.00452    0.00005     0.00005     0.00000     109.04863   13.20457    
-1.00085    0.00006     0.00005     0.00000     106.72199   23.82755    
-0.99828    0.00006     0.00005     0.00001     114.96649   29.24469    
-0.99553    0.00005     0.00005     0.00000     136.17603   18.48201    
-0.99315    0.00006     0.00005     0.00000     130.34704   24.09796    
-0.98985    0.00006     0.00005     0.00000     128.29204   25.66309    
-0.98820    0.00005     0.00005     0.00001     104.60909   28.88786    
-0.98453    0.00005     0.00005     0.00001     99.88515    31.27733    
-0.98196    0.00006     0.00005     0.00000     154.13770   25.75924    
-0.97701    0.00005     0.00005     0.00001     114.12856   29.53841    
-0.97060    0.00006     0.00005     0.00000     106.37980   26.31361    
-0.96748    0.00005     0.00005     0.00000     132.04971   17.61544    
-0.96308    0.00006     0.00005     0.00000     162.26405   17.18879    
