Fitting statistics for a 2D DOSY experiment  
Pure exponential fitting (Stejskal-Tanner equation)  
Monoexpoential fitting  


*******Fit Summary*******
Frequency   Exp. Ampl   Fit. Ampl1  error       Diff coef1  error       
-1.31033    0.00001     0.00000     0.00000     56.18253    52.53349    
-1.30667    0.00001     0.00001     0.00000     68.90754    91.84655    
-1.30428    0.00001     0.00001     0.00000     99.67697    47.94260    
-1.30208    0.00001     0.00001     0.00000     62.45311    59.21504    
-1.29860    0.00002     0.00001     0.00000     74.93154    73.34265    
-1.29145    0.00002     0.00001     0.00000     100.63199   57.29617    
-1.28870    0.00002     0.00001     0.00000     72.52311    70.72028    
-1.28540    0.00002     0.00002     0.00000     120.05076   39.07521    
-1.28265    0.00002     0.00002     0.00000     148.95906   28.37381    
-1.27990    0.00003     0.00002     0.00000     107.07531   42.65623    
-1.27513    0.00003     0.00002     0.00000     143.21670   37.68613    
-1.26908    0.00004     0.00003     0.00000     106.00566   42.57281    
-1.26651    0.00004     0.00003     0.00000     117.20863   31.92661    
-1.26450    0.00003     0.00003     0.00000     105.64348   19.73984    
-1.26193    0.00003     0.00003     0.00000     115.24936   38.08587    
-1.25900    0.00004     0.00003     0.00000     119.97147   25.08809    
-1.25460    0.00004     0.00004     0.00000     137.21236   34.31721    
-1.24855    0.00004     0.00003     0.00000     124.77177   27.61371    
-1.24745    0.00004     0.00003     0.00000     110.45868   32.98768    
-1.24543    0.00004     0.00004     0.00000     130.17467   26.87681    
-1.24249    0.00004     0.00003     0.00001     105.40368   37.72600    
-1.24139    0.00004     0.00004     0.00000     126.63616   28.64986    
-1.23571    0.00005     0.00004     0.00000     132.16638   27.65026    
-1.23314    0.00005     0.00004     0.00000     106.02502   24.70664    
-1.23039    0.00004     0.00004     0.00000     119.25686   25.04992    
-1.22563    0.00005     0.00004     0.00000     132.89220   28.87797    
-1.22159    0.00004     0.00004     0.00000     120.69960   25.90166    
-1.21701    0.00005     0.00004     0.00000     105.37578   26.66139    
-1.21316    0.00005     0.00005     0.00001     106.01446   32.20935    
-1.20986    0.00005     0.00005     0.00000     114.91983   28.89172    
-1.20729    0.00005     0.00005     0.00000     108.39807   25.81416    
-1.20307    0.00005     0.00005     0.00000     120.07245   25.36666    
-1.19812    0.00005     0.00004     0.00000     110.69574   21.18826    
-1.19629    0.00005     0.00004     0.00001     91.43741    27.89827    
-1.19354    0.00005     0.00005     0.00001     113.18542   29.88305    
-1.18932    0.00005     0.00005     0.00001     130.95202   37.72133    
-1.18657    0.00006     0.00005     0.00000     127.71313   24.16720    
-1.18346    0.00005     0.00005     0.00000     154.47272   23.12681    
-1.18071    0.00005     0.00005     0.00000     146.51356   25.09892    
-1.17777    0.00005     0.00005     0.00001     107.20060   28.03109    
-1.17502    0.00005     0.00005     0.00000     117.96025   21.22308    
-1.17135    0.00005     0.00005     0.00000     125.11270   23.17926    
-1.16989    0.00005     0.00005     0.00001     101.22415   29.12063    
-1.16732    0.00006     0.00005     0.00001     114.38052   35.92765    
-1.16530    0.00006     0.00005     0.00000     132.88852   19.92053    
-1.16090    0.00006     0.00005     0.00000     149.95736   23.90345    
-1.15669    0.00005     0.00005     0.00001     107.85666   28.00235    
-1.15247    0.00006     0.00005     0.00000     116.98060   25.57483    
-1.14972    0.00007     0.00005     0.00001     115.22606   31.82648    
-1.14532    0.00006     0.00006     0.00000     155.27510   18.85648    
-1.14220    0.00006     0.00006     0.00000     141.78554   23.93301    
-1.14073    0.00006     0.00005     0.00000     117.16479   20.93258    
-1.13725    0.00006     0.00005     0.00000     101.55280   21.33371    
-1.13413    0.00005     0.00006     0.00000     144.43601   18.56329    
-1.13193    0.00005     0.00005     0.00000     111.71716   19.14202    
-1.13028    0.00005     0.00005     0.00000     112.82373   24.19598    
-1.12625    0.00006     0.00006     0.00000     134.21181   19.61825    
-1.12277    0.00006     0.00005     0.00000     117.43727   23.48717    
-1.11892    0.00006     0.00006     0.00000     157.62118   19.12225    
-1.11672    0.00006     0.00006     0.00000     140.00223   23.62304    
-1.11341    0.00006     0.00005     0.00001     110.14461   33.98026    
-1.10791    0.00006     0.00006     0.00000     124.79851   25.62399    
-1.10626    0.00006     0.00006     0.00000     129.60284   20.79592    
-1.10315    0.00006     0.00006     0.00000     168.51281   12.41676    
-1.09783    0.00007     0.00005     0.00001     94.42201    33.16847    
-1.09215    0.00006     0.00005     0.00001     126.71022   30.81526    
-1.08811    0.00006     0.00005     0.00001     109.85815   25.08619    
-1.08298    0.00006     0.00006     0.00000     153.05608   19.80449    
-1.07986    0.00006     0.00005     0.00001     103.47367   30.89512    
-1.07711    0.00006     0.00006     0.00000     153.88374   28.55443    
-1.07271    0.00006     0.00006     0.00000     148.85447   15.57367    
-1.06776    0.00006     0.00006     0.00000     142.55417   23.49641    
-1.06391    0.00007     0.00006     0.00001     120.88722   34.04716    
-1.05969    0.00006     0.00005     0.00001     127.93255   36.56650    
-1.05823    0.00006     0.00006     0.00001     122.64547   32.99661    
-1.05474    0.00006     0.00005     0.00000     133.83240   24.12586    
-1.05273    0.00006     0.00006     0.00000     148.45644   27.53228    
-1.04924    0.00006     0.00006     0.00000     118.59390   16.01590    
-1.04319    0.00006     0.00006     0.00000     132.02976   19.62211    
-1.04026    0.00006     0.00005     0.00000     120.54922   23.15581    
-1.03677    0.00006     0.00006     0.00001     121.59854   29.69588    
-1.03384    0.00006     0.00006     0.00000     132.80371   25.40642    
-1.03256    0.00006     0.00005     0.00001     115.73385   29.96564    
-1.02797    0.00006     0.00005     0.00000     119.09417   19.62837    
-1.02522    0.00006     0.00006     0.00000     127.80494   19.89236    
-1.02211    0.00006     0.00005     0.00000     114.51655   23.86864    
-1.02009    0.00006     0.00005     0.00000     105.68472   23.38564    
-1.01642    0.00006     0.00006     0.00000     122.07444   23.46724    
-1.01404    0.00006     0.00006     0.00000     147.59073   22.10581    
-1.01000    0.00006     0.00006     0.00001     102.83322   23.96813    
-1.00432    0.00006     0.00005     0.00001     102.61241   25.02521    
-1.00102    0.00006     0.00006     0.00000     140.30317   14.96819    
-0.99827    0.00006     0.00005     0.00001     106.71719   28.00111    
-0.99259    0.00006     0.00006     0.00000     123.89905   22.58388    
-0.98984    0.00006     0.00006     0.00000     159.43477   17.51193    
-0.98800    0.00006     0.00006     0.00000     112.73256   24.11859    
-0.98250    0.00006     0.00006     0.00000     127.70740   20.71675    
-0.98012    0.00006     0.00005     0.00001     89.49208    28.34080    
-0.97792    0.00006     0.00005     0.00000     118.66374   19.04701    
-0.97498    0.00007     0.00006     0.00001     115.90340   24.67196    
-0.96710    0.00007     0.00007     0.00000     162.55022   14.12334    
-0.96123    0.00006     0.00005     0.00000     93.51727    19.22249    
-0.95793    0.00006     0.00006     0.00000     131.17271   26.07742    
-0.95408    0.00007     0.00006     0.00001     150.78702   31.03339    
-0.95133    0.00006     0.00006     0.00000     132.09788   22.31514    
-0.94950    0.00006     0.00005     0.00000     107.97696   13.67338    
-0.94381    0.00006     0.00006     0.00000     116.37810   24.45262    
-0.94216    0.00006     0.00006     0.00001     100.54118   23.72194    
-0.93831    0.00006     0.00006     0.00000     101.59275   17.51383    
-0.93593    0.00006     0.00006     0.00000     148.36485   17.39335    
-0.93300    0.00006     0.00006     0.00000     110.45407   18.57274    
-0.92841    0.00006     0.00005     0.00001     110.27390   33.71462    
-0.92475    0.00006     0.00006     0.00000     119.87202   23.09619    
-0.92108    0.00006     0.00006     0.00000     119.35349   19.18773    
-0.91521    0.00006     0.00005     0.00001     104.52930   29.13580    
-0.91283    0.00006     0.00006     0.00001     114.44144   26.35659    
-0.90971    0.00006     0.00006     0.00000     156.76821   18.57913    
-0.90806    0.00006     0.00006     0.00000     136.84812   20.50788    
-0.90476    0.00006     0.00005     0.00001     90.68831    21.14064    
-0.90219    0.00006     0.00006     0.00000     127.07835   15.89346    
-0.89834    0.00006     0.00006     0.00000     142.43525   20.34016    
-0.89614    0.00006     0.00006     0.00000     120.40979   19.98011    
-0.89303    0.00006     0.00006     0.00000     132.94888   17.56022    
-0.89064    0.00006     0.00006     0.00001     94.81076    27.24956    
-0.88789    0.00006     0.00006     0.00000     107.60272   16.60647    
-0.88588    0.00006     0.00005     0.00001     115.28681   27.28471    
-0.88423    0.00006     0.00005     0.00001     94.00636    26.17023    
-0.88129    0.00005     0.00005     0.00001     93.46866    23.48901    
-0.87872    0.00006     0.00006     0.00000     125.54526   11.35846    
-0.87579    0.00006     0.00005     0.00001     96.49618    21.37216    
-0.87231    0.00006     0.00006     0.00000     129.04268   18.89826    
-0.86937    0.00006     0.00006     0.00000     120.96697   24.98341    
-0.86662    0.00006     0.00005     0.00000     123.95015   18.79335    
-0.86387    0.00007     0.00006     0.00000     152.07774   20.22954    
-0.86076    0.00007     0.00006     0.00001     116.29667   34.27737    
-0.85452    0.00006     0.00005     0.00001     91.41100    26.84951    
-0.85196    0.00006     0.00006     0.00000     141.85610   17.87201    
-0.84755    0.00006     0.00006     0.00001     109.35195   32.51368    
-0.84554    0.00006     0.00005     0.00001     108.63481   29.72450    
-0.84297    0.00006     0.00006     0.00000     179.36172   9.83018     
-0.84059    0.00006     0.00005     0.00000     111.65766   23.92515    
-0.83527    0.00006     0.00006     0.00000     122.58854   15.94180    
-0.83362    0.00006     0.00006     0.00000     103.68948   20.57143    
-0.83252    0.00006     0.00006     0.00000     108.77559   16.21910    
-0.83087    0.00006     0.00006     0.00000     109.48293   19.55455    
-0.82794    0.00006     0.00006     0.00001     133.26255   28.39107    
-0.82629    0.00007     0.00005     0.00001     92.24308    24.98360    
-0.82299    0.00006     0.00005     0.00000     123.13165   26.42165    
-0.82042    0.00006     0.00006     0.00000     144.92593   12.50650    
-0.81638    0.00006     0.00006     0.00001     104.67122   22.38334    
-0.81473    0.00006     0.00006     0.00000     117.39343   19.50086    
-0.80978    0.00006     0.00006     0.00000     113.11918   23.57232    
-0.80483    0.00006     0.00006     0.00000     113.17679   23.47102    
-0.80117    0.00006     0.00005     0.00000     112.49706   15.80819    
-0.79897    0.00006     0.00005     0.00001     90.39696    22.57469    
-0.79548    0.00006     0.00006     0.00001     109.96407   27.13334    
-0.79200    0.00006     0.00005     0.00000     93.03968    18.51019    
-0.78888    0.00006     0.00006     0.00000     169.74333   6.43728     
-0.78668    0.00006     0.00005     0.00000     118.67148   17.95774    
-0.78393    0.00006     0.00005     0.00000     105.90583   24.15188    
-0.77861    0.00007     0.00006     0.00001     100.04069   32.65495    
-0.77495    0.00006     0.00005     0.00001     103.51039   25.41682    
-0.77128    0.00006     0.00006     0.00000     115.62785   22.51178    
-0.76853    0.00006     0.00006     0.00000     124.04651   21.50757    
-0.76596    0.00006     0.00006     0.00000     144.50060   21.83208    
-0.76175    0.00006     0.00005     0.00001     89.33070    24.50452    
-0.75808    0.00006     0.00006     0.00000     125.43297   19.41244    
-0.75478    0.00006     0.00006     0.00000     130.20829   19.25433    
-0.75276    0.00006     0.00005     0.00001     100.37689   23.63331    
-0.74671    0.00006     0.00006     0.00001     119.24099   28.12863    
-0.74231    0.00006     0.00005     0.00001     116.21711   29.26544    
-0.74084    0.00006     0.00005     0.00001     102.50279   28.68164    
-0.73791    0.00006     0.00006     0.00001     122.57066   32.11677    
-0.73461    0.00006     0.00006     0.00000     134.67887   21.17063    
-0.73204    0.00006     0.00005     0.00000     116.51548   21.87753    
-0.72984    0.00006     0.00006     0.00000     125.13166   14.13256    
-0.72636    0.00006     0.00006     0.00000     112.15762   20.52049    
-0.72269    0.00006     0.00005     0.00001     112.92230   29.84309    
-0.71939    0.00006     0.00006     0.00001     113.82467   24.56994    
-0.71536    0.00006     0.00005     0.00000     108.64646   22.76970    
-0.71224    0.00006     0.00005     0.00001     120.64149   26.98936    
-0.70912    0.00006     0.00006     0.00000     131.05188   8.60504     
-0.70546    0.00006     0.00006     0.00000     122.37936   16.99430    
-0.70252    0.00006     0.00006     0.00000     113.14619   19.25542    
-0.69941    0.00007     0.00006     0.00001     107.16777   29.38248    
-0.69592    0.00006     0.00006     0.00000     124.81717   21.90031    
-0.69372    0.00006     0.00005     0.00000     113.01361   21.77020    
-0.69226    0.00006     0.00005     0.00000     128.60459   24.10012    
-0.68896    0.00006     0.00005     0.00000     107.17760   20.31990    
-0.68712    0.00006     0.00006     0.00000     118.19865   21.05166    
-0.68437    0.00006     0.00006     0.00000     113.09593   22.13246    
-0.68290    0.00006     0.00006     0.00000     91.19642    16.73727    
-0.67924    0.00006     0.00006     0.00000     168.70864   17.67933    
-0.67685    0.00006     0.00006     0.00000     111.96504   18.45564    
-0.67557    0.00006     0.00005     0.00000     103.02681   13.00251    
-0.67392    0.00006     0.00006     0.00000     111.02345   21.30736    
-0.67080    0.00006     0.00005     0.00001     90.65369    26.38347    
-0.66695    0.00006     0.00006     0.00000     149.37483   16.87000    
-0.66347    0.00006     0.00005     0.00001     102.85572   23.78789    
-0.65889    0.00007     0.00006     0.00001     100.00321   29.24069    
-0.65357    0.00006     0.00005     0.00001     108.27755   24.41337    
-0.65027    0.00006     0.00006     0.00001     100.91672   23.03031    
-0.64733    0.00006     0.00006     0.00000     145.76308   19.76116    
-0.64312    0.00006     0.00005     0.00000     95.33524    20.60349    
-0.64018    0.00006     0.00006     0.00000     132.83124   15.45610    
-0.63688    0.00006     0.00006     0.00000     116.84999   19.27563    
-0.63578    0.00006     0.00006     0.00000     110.26664   22.32313    
-0.63395    0.00006     0.00006     0.00000     130.53105   17.88349    
-0.63010    0.00006     0.00006     0.00000     141.88303   11.41291    
-0.62662    0.00006     0.00006     0.00000     152.23072   13.36372    
-0.62240    0.00006     0.00006     0.00000     126.43841   16.87107    
-0.62093    0.00006     0.00006     0.00000     120.56169   20.56782    
-0.61891    0.00006     0.00005     0.00000     106.16493   21.56842    
-0.61378    0.00007     0.00006     0.00001     103.87379   32.53833    
-0.60920    0.00006     0.00005     0.00001     108.55877   23.99650    
-0.60626    0.00006     0.00006     0.00000     121.69219   19.75862    
-0.60168    0.00007     0.00006     0.00001     112.16119   29.74433    
-0.59856    0.00006     0.00006     0.00000     114.22869   16.34267    
-0.59710    0.00006     0.00006     0.00000     129.92149   12.19331    
-0.59435    0.00007     0.00006     0.00001     106.89470   24.67458    
-0.59123    0.00006     0.00005     0.00001     98.99408    23.22946    
-0.58664    0.00006     0.00006     0.00000     108.12589   20.43360    
-0.58279    0.00006     0.00005     0.00000     117.51208   14.21903    
-0.58059    0.00006     0.00005     0.00000     104.01565   21.00765    
-0.57784    0.00006     0.00006     0.00000     102.76284   16.17484    
-0.57491    0.00006     0.00006     0.00000     146.55678   17.36452    
-0.57051    0.00006     0.00006     0.00000     149.97425   12.27164    
-0.56886    0.00006     0.00006     0.00000     122.54996   15.03789    
-0.56684    0.00007     0.00005     0.00001     98.40806    30.56272    
-0.56446    0.00006     0.00006     0.00000     137.04514   12.11478    
-0.56318    0.00006     0.00006     0.00000     108.83928   13.34884    
-0.56006    0.00006     0.00006     0.00001     106.36930   22.68224    
-0.55529    0.00006     0.00006     0.00001     93.59295    22.03183    
-0.55401    0.00006     0.00006     0.00000     133.11812   20.40465    
-0.55272    0.00006     0.00006     0.00000     118.65734   19.48587    
-0.54924    0.00006     0.00006     0.00000     115.52353   13.16811    
-0.54374    0.00006     0.00006     0.00000     140.09229   21.88614    
-0.54172    0.00006     0.00006     0.00000     127.50833   14.62238    
-0.53897    0.00006     0.00006     0.00000     129.53541   10.34943    
-0.53457    0.00006     0.00006     0.00000     133.54777   12.64441    
-0.53164    0.00006     0.00005     0.00000     109.61234   16.98076    
-0.52871    0.00006     0.00006     0.00000     166.01586   22.28814    
-0.52706    0.00006     0.00005     0.00000     103.97356   21.11814    
-0.52431    0.00006     0.00006     0.00000     126.20492   15.75460    
-0.52082    0.00006     0.00006     0.00001     91.55442    21.66035    
-0.51880    0.00006     0.00006     0.00000     95.95182    14.23731    
-0.51440    0.00006     0.00006     0.00000     114.66098   22.51203    
-0.51129    0.00006     0.00006     0.00000     131.70483   12.51150    
-0.50652    0.00006     0.00006     0.00000     164.59448   19.68539    
-0.50505    0.00006     0.00005     0.00001     92.18347    27.89008    
-0.50212    0.00006     0.00006     0.00000     141.52525   18.42815    
-0.49937    0.00006     0.00006     0.00000     117.56948   14.44701    
-0.49644    0.00006     0.00006     0.00000     101.96453   15.35157    
-0.49515    0.00006     0.00006     0.00000     109.69916   22.30045    
-0.49222    0.00006     0.00006     0.00000     128.02654   12.34746    
-0.49039    0.00006     0.00006     0.00000     126.44330   17.60053    
-0.48892    0.00006     0.00005     0.00000     92.64290    14.60131    
-0.48507    0.00006     0.00006     0.00000     105.03341   14.94637    
-0.48030    0.00006     0.00006     0.00000     124.88164   10.53646    
-0.47682    0.00006     0.00005     0.00001     103.51403   26.11274    
-0.47443    0.00006     0.00006     0.00000     115.51216   13.98910    
-0.47003    0.00006     0.00005     0.00001     104.29579   24.85239    
-0.46673    0.00007     0.00006     0.00001     103.17620   28.61232    
-0.46398    0.00006     0.00006     0.00000     142.56976   10.63657    
-0.46087    0.00006     0.00006     0.00000     115.37482   18.93986    
-0.45793    0.00006     0.00006     0.00000     110.94438   17.59830    
-0.45335    0.00006     0.00006     0.00001     124.16168   32.81673    
-0.45243    0.00006     0.00006     0.00000     127.82484   24.79074    
-0.44895    0.00007     0.00006     0.00000     135.62224   21.40762    
-0.44748    0.00007     0.00006     0.00000     127.22645   19.33425    
-0.44308    0.00006     0.00006     0.00000     109.12685   14.92045    
-0.44033    0.00006     0.00006     0.00000     121.47843   15.55492    
-0.43868    0.00006     0.00006     0.00000     89.48240    17.79490    
-0.43391    0.00006     0.00006     0.00000     115.47473   14.43296    
-0.42823    0.00006     0.00006     0.00000     126.59907   17.67905    
-0.42566    0.00006     0.00006     0.00000     99.99380    20.62089    
-0.42218    0.00006     0.00007     0.00000     168.02966   9.97908     
-0.41796    0.00006     0.00005     0.00001     89.57868    24.96408    
-0.41319    0.00006     0.00006     0.00000     144.20189   14.75753    
-0.41228    0.00006     0.00006     0.00000     144.30720   13.33251    
-0.41063    0.00006     0.00006     0.00000     107.79255   8.18767     
-0.40879    0.00006     0.00006     0.00000     114.23757   16.09483    
-0.40311    0.00006     0.00005     0.00001     95.91351    31.92582    
-0.39908    0.00006     0.00006     0.00000     104.76355   18.24569    
-0.39724    0.00006     0.00006     0.00000     107.24126   20.34999    
-0.39596    0.00006     0.00006     0.00000     97.36949    14.60614    
